HomeTeam,AwayTeam,HxG,AxG
Crystal Palace,Southampton,1.39569,1.26267
Fulham,Arsenal,0.126327,2.16287
Liverpool,Leeds,3.15412,0.269813
West Ham,Newcastle,0.861445,1.65911
Tottenham,Everton,0.822944,1.26793
West Brom,Leicester,0.352997,2.95581
Brighton,Chelsea,1.44281,1.27062
Sheffield United,Wolves,0.949316,1.61307
Arsenal,West Ham,1.32902,2.06377
Everton,West Brom,4.16254,0.315347
Leeds,Fulham,1.45254,1.55503
Man United,Crystal Palace,1.09737,1.91456
Chelsea,Liverpool,0.904183,2.25211
Leicester,Burnley,0.987365,1.52404
Newcastle,Brighton,0.520678,1.8766
Southampton,Tottenham,2.27708,2.28004
Aston Villa,Sheffield United,0.80527,0.849709
Wolves,Man City,0.727677,2.07651
Brighton,Man United,2.97659,1.57583
Burnley,Southampton,0.347136,0.706632
Crystal Palace,Everton,0.443115,2.27189
West Brom,Chelsea,0.911185,2.36046
Man City,Leicester,1.44633,2.86721
Sheffield United,Leeds,1.53278,1.46641
Tottenham,Newcastle,3.18765,0.942726
West Ham,Wolves,3.05703,0.385152
Fulham,Aston Villa,0.534675,2.03222
Liverpool,Arsenal,2.73834,1.17817
Chelsea,Crystal Palace,2.51433,0.103249
Everton,Brighton,2.34034,1.16568
Leeds,Man City,2.56662,1.41533
Newcastle,Burnley,1.95629,0.438849
Arsenal,Sheffield United,0.667131,0.144994
Aston Villa,Liverpool,3.07626,1.65705
Leicester,West Ham,0.456022,2.03227
Man United,Tottenham,0.873435,3.3017
Southampton,West Brom,0.949079,0.161283
Wolves,Fulham,0.89359,0.969393
Chelsea,Southampton,1.98708,1.42348
Everton,Liverpool,1.35998,2.49492
Man City,Arsenal,1.43023,0.838322
Newcastle,Man United,0.867496,2.21729
Crystal Palace,Brighton,0.761169,1.0935
Leicester,Aston Villa,0.671595,0.873776
Sheffield United,Fulham,1.66363,1.35611
Tottenham,West Ham,1.77602,1.49992
Leeds,Wolves,1.08332,0.618191
West Brom,Burnley,0.731692,1.08532
Aston Villa,Leeds,1.50125,2.37695
Fulham,Crystal Palace,1.05258,2.81049
Liverpool,Sheffield United,2.40286,1.39788
Man United,Chelsea,0.648427,0.219906
West Ham,Man City,0.263739,0.892456
Arsenal,Leicester,0.73944,0.736172
Southampton,Everton,0.74151,0.287054
Wolves,Newcastle,0.758626,0.253685
Brighton,West Brom,0.546807,0.295654
Burnley,Tottenham,0.95045,0.797344
Wolves,Crystal Palace,1.34895,0.802767
Burnley,Chelsea,0.407341,1.23077
Liverpool,West Ham,1.56302,0.269048
Sheffield United,Man City,0.687544,1.89643
Aston Villa,Southampton,2.44855,1.00333
Man United,Arsenal,0.394113,0.998072
Newcastle,Everton,2.6311,1.21805
Tottenham,Brighton,1.97236,0.324457
Fulham,West Brom,1.62247,0.482685
Leeds,Leicester,1.74822,3.07657
Brighton,Burnley,1.59022,0.326933
Southampton,Newcastle,0.985828,0.175633
Chelsea,Sheffield United,2.87622,0.743967
Crystal Palace,Leeds,1.30169,0.847913
Everton,Man United,0.376464,1.59642
West Ham,Fulham,1.42614,1.84922
Arsenal,Aston Villa,1.39037,1.98553
