model,asked_at,Datetime,HomeTeam,AwayTeam,p_home,p_draw,p_away,p_over25
nvidia/nemotron-3.5-lightning:free,2026-09-12 18:51:46.675104,2026-09-12 20:00:00,Sunderland,Arsenal,0.1,0.26,0.64,
nvidia/nemotron-3.5-lightning:free,2026-09-12 18:51:46.675104,2026-09-13 14:00:00,Coventry,Brighton,0.25,0.28,0.47,
nvidia/nemotron-3.5-lightning:free,2026-09-12 18:51:46.675104,2026-09-13 16:30:00,Man United,Man City,0.42,0.26,0.32,
nvidia/nemotron-3.5-lightning:free,2026-09-12 18:51:46.675104,2026-09-14 20:00:00,Leeds,Newcastle,0.3,0.27,0.43,
nvidia/nemotron-3-ultra-550b-a55b:free,2026-09-12 18:51:46.675104,2026-09-12 20:00:00,Sunderland,Arsenal,0.1,0.2,0.7,
nvidia/nemotron-3-ultra-550b-a55b:free,2026-09-12 18:51:46.675104,2026-09-13 14:00:00,Coventry,Brighton,0.15,0.25,0.6,
nvidia/nemotron-3-ultra-550b-a55b:free,2026-09-12 18:51:46.675104,2026-09-13 16:30:00,Man United,Man City,0.28,0.27,0.45,
nvidia/nemotron-3-ultra-550b-a55b:free,2026-09-12 18:51:46.675104,2026-09-14 20:00:00,Leeds,Newcastle,0.25,0.25,0.5,
dots-studio/dots-3-note-preview:free,2026-09-12 18:51:46.675104,2026-09-12 20:00:00,Sunderland,Arsenal,0.1,0.25,0.65,
dots-studio/dots-3-note-preview:free,2026-09-12 18:51:46.675104,2026-09-13 14:00:00,Coventry,Brighton,0.35,0.25,0.4,
dots-studio/dots-3-note-preview:free,2026-09-12 18:51:46.675104,2026-09-13 16:30:00,Man United,Man City,0.3,0.3,0.4,
dots-studio/dots-3-note-preview:free,2026-09-12 18:51:46.675104,2026-09-14 20:00:00,Leeds,Newcastle,0.4,0.25,0.35,
inclusionai/ling-3.0-flash-vl:free,2026-09-12 18:51:46.675104,2026-09-12 20:00:00,Sunderland,Arsenal,0.15,0.25,0.6,
inclusionai/ling-3.0-flash-vl:free,2026-09-12 18:51:46.675104,2026-09-13 14:00:00,Coventry,Brighton,0.28,0.27,0.45,
inclusionai/ling-3.0-flash-vl:free,2026-09-12 18:51:46.675104,2026-09-13 16:30:00,Man United,Man City,0.3,0.28,0.42,
inclusionai/ling-3.0-flash-vl:free,2026-09-12 18:51:46.675104,2026-09-14 20:00:00,Leeds,Newcastle,0.25,0.28,0.47,
